Topic,Max_Probability,Document_ID,Abstract
10,0.3943,4081,"A new method of seeding convective clouds for the purpose of augmenting rainfall is being developed in South Africa. Flares that produce small salt particles (0.5-μm mean diameter) are attached to the trailing edge of the wings of seeding aircraft and ignited in updrafts below the cloud base of convective storms. This method of delivery overcomes most of the difficulties encountered in the handling and the use of hygroscopic materials, difficulties that made seeding with ice nuclei (AgI) a more attractive option. The research that has led to the development of this new technique was prompted by an encounter with a storm with dramatically altered microphysics that was growing over a Kraft paper mill in the research area. Hygroscopic seeding flares were subsequently developed, and seeding trials began in October 1990. Successful seeding trials quickly led to the design and execution of a randomized convective cloud-seeding experiment, the results of which show convincing evidence of increases in the radar-measured rain mass from seeded storms when compared to the control or unseeded storms. Heightened reflectivities aloft seen by the real-time storm-tracking software and observed in the exploratory analysis raises the possibility of developing a radar-measured seeding algorithm that can recognize in almost real time a successful convective seeding event. The implications of such a development would have far-reaching effects on the conduct of future convective cloud-seeding experiments and operations. The authors' seeding hypothesis postulates that the hygroscopic seeding at cloud base accelerates the growth of large hydrometeors in the treated clouds, which harvest more of the available supercooled water before it is expelled into the anvils by the strong updrafts that are a characteristic of the local storms, thereby increasing the efficiency of the rainfall process. The validity of this hypothesis is supported by microphysical measurements made from an instrumented Learjet and the results of the randomized experiment, both of which are supported by numerical condensation-coalescence calculations. There are also indications that the hygroscopic seeding may have an impact upon the dynamics of the treated storms, lengthening their lifetimes by strengthening the coupling of the updraft-downdraft storm propagation mechanism. The apparent sensitivity of rainfall in convective clouds to the aerosol concentration, size, and chemical content may have climatic implications. Higher concentrations of small aerosols produced by pollution, biomass burning, etc., could adversely affect the efficiency of the rainfall process. The negative consequences of this effect would be magnified in regions that depend upon convective storms to provide the bulk of their annual rainfall."
11,0.6866,4008,"The 1997 Indonesia forest fires was an environmental disaster of exceptional proportions. Such a disaster caused massive transboundary air pollution and indiscriminate destruction of biodiversity in the world. The immediate consequence of the fires was the production of large amounts of haze in the region, causing visibility and health problems within Southeast Asia. Furthermore, fires of these magnitudes are potential contributors to global warming and climate change due to the emission of large amounts of greenhouse gases and other pyrogenic products.The long-range transport of fire-related haze in the region is investigated using trajectories from the CSIRO Division of Atmospheric Research Limited Area Model (DARLAM). Emission scenarios were constructed for hotspot areas in Sumatra and Kalimantan for the months of September and October 1997 to determine the period and fire locations most critical to Singapore. This study also examines some transport issues raised from field observations. Results show that fires in the coastal areas of southeast Sumatra and southwest Kalimantan can be potential contributors to transboundary air pollution in Singapore. Singapore was directly affected by haze from these areas whereas Kuala Lumpur was heavily affected by the haze coming from Sumatra. In most cases, Singapore was more affected by fires from Kalimantan than was Kuala Lumpur. This was mainly a result of the shifting of monsoons. The transition of monsoons resulted in weaker low-level winds and shifted convergence zones near to the southeast of Peninsular Malaysia. In addition to severe drought and massive fire activity in 1997, the timing of the monsoon transition has a strong influence on haze transport in the region. Copyright © 2001 Elsevier Science Ltd."
12,0.9423,440,"This work is focused on the temporal characterization of equivalent Black Carbon (eBC) mass concentrations and their sources in a suburban station notably impacted by traffic, located in the metropolitan area of Valencia, Spain (western Mediterranean Sea). The average (± standard deviation) concentrations of fossil fuel (eBCff) and biomass burning (eBCbb) contributions were 0.9 ± 0.5 μgm−3 and 0.06 ± 0.05 μgm−3, respectively. These values represent the anthropogenic character of local aerosols. Both contributions also show a very marked seasonality: higher values in winter and lower in summer, corresponding to the strong dependence of the atmospheric conditions. The eBCff concentrations exhibit a daily pattern consistent with the evolution of traffic: a morning peak (around 8 LT) and other in the evening (around 19 LT). The seasonal Mann–Kendall test was applied to identify long-term trends and the Sen slope estimation to quantify the annual variation. Decreasing trends were found for eBCff concentrations (−0.023 μgm−3/yr), showing the effectiveness of air quality regulations. Less noticeable trends were found for eBCbb concentrations. This fact evidences the contribution of biomass burning is not only related to changes in anthropogenic emissions, but also to natural phenomena, making it more difficult to interpret long-term trends. © 2025 Turkish National Committee for Air Pollution Research and Control"
13,0.6026,4030,"The Indian Ocean Experiment (INDOEX) was an international, multiplatform field campaign to measure long-range transport of air pollution from South and Southeast Asia toward the Indian Ocean during the dry monsoon season in January to March 1999. Surprisingly high pollution levels were observed over the entire northern Indian Ocean toward the Intertropical Convergence Zone at about 6°S. We show that agricultural burning and especially biofuel use enhance carbon monoxide concentrations. Fossil fuel combustion and biomass burning cause a high aerosol loading. The growing pollution in this region gives rise to extensive air quality degradation with local, regional, and global implications, including a reduction of the oxidizing power of the atmosphere."
14,0.9874,1347,"Nitrate (NO3−) has been the dominant ion of secondary inorganic aerosols (SIAs) in PM2.5 in North China. Tracking the formation mechanisms and sources of particulate nitrate are vital to mitigate air pollution. In this study, PM2.5 samples in winter (January 2020) and in summer (June 2020) were collected in Jiaozuo, China, and water-soluble ions and (δ15N, δ18O)-NO3− were analyzed. The results showed that the increase of NO3− concentrations was the most remarkable with increasing PM2.5 pollution level. δ18O-NO3− values for winter samples (82.7‰ to 103.9‰) were close to calculated δ18O-HNO3 (103‰ ± 0.8‰) values by N2O5 pathway, while δ18O-NO3− values (67.8‰ to 85.7‰) for summer samples were close to calculated δ18O-HNO3 values (61‰ ± 0.8‰) by OH oxidation pathway, suggesting that PM2.5 nitrate is largely from N2O5 pathway in winter, while is largely from OH pathway in summer. Averaged fractional contributions of PN2O5+H2O were 70% and 39% in winter and summer sampling periods, respectively, those of POH were 30% and 61%, respectively. Higher δ15N-NO3− values for winter samples (3.0‰ to 14.4‰) than those for summer samples (-3.7‰ to 8.6‰) might be due to more contributions from coal combustion in winter. Coal combustion (31% ± 9%, 25% ± 9% in winter and summer, respectively) and biomass burning (30% ± 12%, 36% ± 12% in winter and summer, respectively) were the main sources using Bayesian mixing model. These results provided clear evidence of particulate nitrate formation and sources under different PM2.5 levels, and aided in reducing atmospheric nitrate in urban environments. © 2021"
15,0.5427,4071,"Black carbon samples were collected and analysed in real‐time with an aethalometer in two different source regions. Experiments took place at Gif sur Yvette in the Paris region, heavily polluted by atmospheric inputs from fossil fuel combustions and at Lamto, during the dry season, a savanna site in the Ivory Coast primarily contaminated by biomass burning pollutants. At both sites, black carbon concentrations are high, pointing out the intensity of the various combustion sources prevailing in these regions. At Gif sur Yvette, the Cb aerosol content is highly variable (concentrations are included in the range 0.3–15 μgC.m−3), reflecting either variable meteorological patterns or automotive rush hours. At Lamto, during a season with established meteorological parameters, there is an important and regular background of biomass burning. Indeed, Cb concentrations display a low variability in the range of 1–4 μgC.m−3 which is easily related to atmospheric relative humidity which seems to govern the development of bush fires. © 1992 Taylor and Francis Group, LLC."
16,0.6408,4003,"FOS/DECAFE 91 (Fire of Savannas/Dynamique et Chimie Atmosphérique en Forêt Equatoriale) was the first multidisciplinary experiment organized in Africa to determine gas and aerosol emissions by prescribed savanna fires. The humid savanna of Lamto in Ivory Coast was chosen for its ecological characteristics representative of savannas with a high biomass density (≈900 g m-2 dry matter). Moreover the vegetation and the climate of Lamto have been studied for more than twenty years. The emission ratios (ΔX/ΔCO2) of the carbon compounds (CO2, CO, NMHC, CH4, PAH, organic acids and aerosols), nitrogen compounds (NOx, N2O, NH3 and soluble aerosols) and sulfur compounds (SO2, COS and aerosols) were experimentally determined by ground and aircraft measurements. To perform this experiment, 4 small plots (100×100 m) and 2 large areas (10×10 km) were prepared and burnt in January 1991 during the period of maximum occurrence of fires in this type of savanna. The detailed ecological study shows that the carbon content of the vegetation is constant within 1% (42 g C for 100 g of vegetal dry matter), the nitrogen content (0.29 g N for 100 g of dry matter) may vary by 10% and the sulfur content (0.05 g S/100 d.m.) by 20%. These variations of the biomass chemical content do not constitute an important factor in the variation of the gas and particle emission levels. With the emission ratios characteristic of humid savanna and flaming conditions (ΔCO/ΔCO2 of 6.1% at the ground and 8% for airborne measurements), we propose a set of new emission factors, taking into account the burning efficiency which is about 80%: 74.4% of the carbon content of the savanna biomass is released to the atmosphere in the form of CO2, 4.6% as CO, 0.2% as CH4, 0.5% as NMHC and 0.7% as aerosols. 17.2% of the nitrogen content of the biomass is released as NOx, 3.5% as N2O, 0.6% as NH3 and 0.5% as soluble aerosols. © 1995 Kluwer Academic Publishers."
17,0.3778,1593,"Levoglucosan, an anhydrosaccharide, is commonly used as an organic tracer for biomass burning, but has also been identified from coal smoke particulate matter (PM) including lignites. Here we showed that stable carbon isotope analysis specifically of levoglucosan may be one possible way to determine the relative contributions from coal combustion versus biomass burning sources. PM samples were collected from low-temperature burning/smoldering of Miocene lignites from Poland and basket willow (Salix viminalis L.) representative of biomass. The calculated levoglucosan δ13C values of xylites varied from −23.6 to −21.6‰, while for detritic coal samples they ranged from −24.2 to −23.1‰, with means of −22.7 and −23.7‰, respectively. The calculated levoglucosan δ13C value of basket willow wood was −27.1‰. Values of willow wood mixtures with xylite varied from −25.8 to −23.4‰ (with an increasing proportion of xylite), while values of mixtures of willow and detritic coal ranged from −26.9 to −24.6‰ (with an increasing proportion of detritic coal). The δ13C values for the mixtures changed proportionally to the contents of individual components with R2 = 0.88 and 0.89 for willow with xylite and detritic coal, respectively. The hopanoid distributions characteristic for low-temperature lignite/peat burning, with a predominance of 22R-α,β-homohopane, ββ-hopanes and hopenes, as well as low or very low values of the homohopane index, were observed in smoke PM from most lignite samples and absent in the basket willow sample. Thus, the relatively high content of hopanes (with the occurrence of 22R-α,β-homohopane, ββ-hopanes and hopenes) in atmospheric PM samples can be treated as additional tracers of lignite combustion. © 2020 The Authors"
18,0.8646,4035,"In optical analysers devoted to the analysis of atmospheric black carbon concentration, the specific attenuation cross-section, σ is the factor used to convert the attenuation of a light beam due to the absorption of aerosols deposited on a filter into their black carbon content. We have tried to gain further insight for a suitable choice of sigma value, using both optical analysis (with an aethalometer) and thermal analysis of black carbon aerosols and comparison of the two sets of results. Samples which were investigated originate from varying environments, including suburban areas, tropical areas where biomass burning was prevalent and from more remote locations. In a given type of atmospheric environment, σ values are found to be constant. However, σ displays an important variability (range: 5-20 m2 g-1) which may be related to the variability of the aerosol mix (internal or external mixture) and the aging of the atmospheric particulate phase. Our results quote unambiguously the need for a modulated calibration of optical analysers depending on the type of atmospheric environments which are studied. They suggest the need to reconsider carefully the black carbon data obtained at remote locations. © 1993."
19,0.8124,4082,"Measurements of 210Po and 210Pb activities in surface air at Lamto (Ivory Coast) during 18 months are presented and discussed in relation to the regional sources of 210Po. High seasonal variation is observed with maximum in winter, reaching an activity of 210Po as high as 1 Bq per 103 m3. Our estimation shows that the high 210Po activity in winter is not closely related to the local biomass burning emissions but rather due to the particular atmospheric circulation patterns and geographical location of this region: in winter, surface winds having continental origin bring soil dusts, enriched in 210Po and 210Pb, from Sahara desert. However, biomass burning and the growth from 222Rn within the atmosphere appear to be the major sources of unsupported 210Po in the other seasons."
20,0.8657,4103,"Chemical profiles for particle emissions are needed for source apportionment studies using the chemical mass balance (CMB) receptor model. Source measurements of geological sources, motor vehicle exhaust, vegetative burning (e.g. asparagus, field burning, charbroil cooking), and industrial sources (e.g. oil-fueled glass plant, manure-fueled power plants) were acquired as part of the Imperial/Mexicali Valley Cross Border PM10 Transport Study in 1992. Six different source sampling techniques (i.e. hot- and diluted-exhaust sampling, ground-based source sampling, particle sweeping/grab sampling, vacuum sampling, and laboratory resuspension sampling) were applied to acquire filter samples of PM2.5 and PM10 (particulate matter with aerodynamic diameters <2.5 and 10 μm, respectively). Filter samples were analyzed for mass by gravimetry, elements (Na to U) by X-ray fluorescence, anions (Cl-, NO3-, SO4=) by ion chromatography, ammonium (NH4+) by automated colorimetry, soluble sodium (Na+) and potassium (K+) by atomic absorption spectrophotometry, and organic and elemental carbon (OC, EC) by thermal/optical reflectance. Concentration data were acquired for a total of ∼50 chemical species. Elevated abundances of crustal components (Al, Si, K, Ca, Fe) from geological material, carbon (OC, EC) and trace elements (Br, Pb) from vehicle exhausts, carbon (OC, EC) and ions (K+, Cl-) from vegetative burning, ions (SO4=, NH4+, Na+, K+, Cl-) and elements (Cl, Se) from a manure-fueled power plants, and sulfur and trace elements (Na+, Pb, Se, Ni, V) from an oil-fueled glass plant were found in the resulting source profiles. Abundances of crustal species (e.g. Al, Si, Ca) in the Imperial/Mexicali Valley geological profiles are more than twice those found in central and southern California. Abundances of lead in motor vehicle exhausts indicate different vehicle fleets in border cities. Emission profiles from field burning and charbroil cooking specific to the border area show that a majority (>60%) of emissions are comprised of carbon, with high organic to total carbon ratios (0.93 to 0.97). Abundances of sulfate and ammonium account for nearly 60% of the manure-fueled power plant's emissions. Elevated levels of metals (Na+, Pb, Cd, Se) and byproducts of petroleum combustion (S, Ni, V) were found in the oil-fueled glass plant's emissions. Copyright © 2001 Elsevier Science B.V."
